seed,fold,mean_rank_ic,dates,validation_rows
0,0,-0.016574099454242475,51,12726
0,1,0.03747916999195078,50,12322
0,2,0.04641137804893683,51,12345
0,3,0.027991208405072885,50,12467
0,4,-0.006440544106297191,50,12441
0,5,0.03961665376536108,51,12726
0,6,0.0376813942759858,50,12480
0,7,0.07603634658979988,51,12739
1,0,-0.01006508940730869,51,12726
1,1,0.03295374731118214,50,12322
1,2,0.0515900996648761,51,12345
1,3,0.022132032352424277,50,12467
1,4,-0.009375728091530202,50,12441
1,5,0.033418735226995185,51,12726
1,6,0.04306937017056327,50,12480
1,7,0.08179591577095038,51,12739
2,0,-0.019897113162037912,51,12726
2,1,0.036719736830288834,50,12322
2,2,0.05684906002014292,51,12345
2,3,0.04594797463117101,50,12467
2,4,-0.006571673756195075,50,12441
2,5,0.04086505600536018,51,12726
2,6,0.03632181015456244,50,12480
2,7,0.07833140910294195,51,12739
3,0,-0.01442612224101068,51,12726
3,1,0.038095183657377775,50,12322
3,2,0.05249518727236268,51,12345
3,3,0.0195248130501729,50,12467
3,4,-0.0015927274017262833,50,12441
3,5,0.039862830182631474,51,12726
3,6,0.04680055795557337,50,12480
3,7,0.07467051618717777,51,12739
4,0,-0.015033159345177871,51,12726
4,1,0.04518555074248324,50,12322
4,2,0.05924868726909434,51,12345
4,3,0.024223677782341514,50,12467
4,4,0.007492524859130159,50,12441
4,5,0.026118021473391935,51,12726
4,6,0.03543051237392408,50,12480
4,7,0.07275438813124785,51,12739
5,0,-0.016214169833426707,51,12726
5,1,0.03186393499350438,50,12322
5,2,0.05266545248167112,51,12345
5,3,0.03424125486757424,50,12467
5,4,-0.01728785106562155,50,12441
5,5,0.03184534772382185,51,12726
5,6,0.041267358652869686,50,12480
5,7,0.08973750416841891,51,12739
6,0,-0.009833833310900786,51,12726
6,1,0.04988764496574372,50,12322
6,2,0.04933579970220752,51,12345
6,3,0.035532941468560855,50,12467
6,4,-0.002505650075493725,50,12441
6,5,0.03479982261043626,51,12726
6,6,0.03757883604077361,50,12480
6,7,0.08342122857457845,51,12739
7,0,-0.014031240203027323,51,12726
7,1,0.04681764487874192,50,12322
7,2,0.05982776023015872,51,12345
7,3,0.028332056612944093,50,12467
7,4,-0.002350271318913964,50,12441
7,5,0.017399642103770315,51,12726
7,6,0.03452695707520803,50,12480
7,7,0.07737117039406474,51,12739
8,0,-0.011394949395378731,51,12726
8,1,0.029991677316890925,50,12322
8,2,0.0519979030818619,51,12345
8,3,0.03955143905561748,50,12467
8,4,-0.01543692799597791,50,12441
8,5,0.03030715549405787,51,12726
8,6,0.041264704531052764,50,12480
8,7,0.08910957588223914,51,12739
9,0,-0.01896311139939247,51,12726
9,1,0.05315374239828903,50,12322
9,2,0.06481460042822976,51,12345
9,3,0.03749728690176913,50,12467
9,4,-0.01969944993800715,50,12441
9,5,0.029305022988449943,51,12726
9,6,0.04232456149789531,50,12480
9,7,0.08728181936891248,51,12739
