seed,mean_rank_ic,hac_t_stat,ic_ir,fold_ic,positive_fold_count,worst_fold_ic,mean_cross_sectional_prediction_sd,prediction_rank_correlation_to_seed_0,portfolio_overlap_to_seed_0,annualised_turnover,gross_sharpe,net_sharpe_10bp,fit_seconds,prediction_sha256
0,0.030335558551431274,2.7466880499572888,0.20646830113160922,"[-0.016574099454242475, 0.03747916999195078, 0.04641137804893683, 0.027991208405072885, -0.006440544106297191, 0.03961665376536108, 0.0376813942759858, 0.07603634658979988]",6,-0.016574099454242475,0.04557120943868234,1.0,1.0,6.8977327188940105,0.5559333390854057,0.4057355652563156,274.0318899999984,127555e4ab24152b6fe266ea98310b18799a605b099ebe590852052c314cf945
1,0.030773994582086964,2.887914828917322,0.21599018269506878,"[-0.01006508940730869, 0.03295374731118214, 0.0515900996648761, 0.022132032352424277, -0.009375728091530202, 0.033418735226995185, 0.04306937017056327, 0.08179591577095038]",6,-0.01006508940730869,0.04438989294271802,0.907862114227768,0.7894881331245369,6.878973413683092,0.5454220973718985,0.37735969974068534,264.79325045899895,ea4eeda09baa745cc34ba04455ea44c68ed28581b9e7153cd939cdc98948718b
2,0.033624904463559716,3.0197234873924814,0.22491208291329431,"[-0.019897113162037912, 0.036719736830288834, 0.05684906002014292, 0.04594797463117101, -0.006571673756195075, 0.04086505600536018, 0.03632181015456244, 0.07833140910294195]",6,-0.019897113162037912,0.04455871550679105,0.9065362646163699,0.7874362244897958,6.853756823821341,0.481650696190322,0.3133548596870488,264.0713679999899,c83c0e96a307db62d15e146dc1020a4527eab57a538c9fcd449618a9ee0bcd9e
3,0.03199038204091364,3.042939355463185,0.2235066351241811,"[-0.01442612224101068, 0.038095183657377775, 0.05249518727236268, 0.0195248130501729, -0.0015927274017262833, 0.039862830182631474, 0.04680055795557337, 0.07467051618717777]",6,-0.01442612224101068,0.045259444484470876,0.9005861045178932,0.7839694466895669,6.911540588443815,0.4921275612098619,0.3291510650149212,263.9072458330047,5fcc520c209b2e8c39af4cf2000f2935a74bc9105a79e387919d2841aec2367e
4,0.03196558936101564,3.0154500754824216,0.22011487508709615,"[-0.015033159345177871, 0.04518555074248324, 0.05924868726909434, 0.024223677782341514, 0.007492524859130159, 0.026118021473391935, 0.03543051237392408, 0.07275438813124785]",7,-0.015033159345177871,0.04423545775493605,0.8990691212125669,0.7849310887721426,6.873792272243885,0.6144174503839931,0.496367513265907,265.2206227090064,8dccd3c6e43ef42b1f5295d2bb3844c420223226be04ac110c7a0dd02a22fa05
5,0.031098949836586835,2.6386559378839602,0.2059656340730171,"[-0.016214169833426707, 0.03186393499350438, 0.05266545248167112, 0.03424125486757424, -0.01728785106562155, 0.03184534772382185, 0.041267358652869686, 0.08973750416841891]",6,-0.01728785106562155,0.04491869122468823,0.8909304653651916,0.7708928360948338,6.85766182204892,0.3643913026032109,0.199990846952339,268.58147416700376,d63cb41f7426a075f7573e7e027a9e7aada9ae2e6ec47e94e1ec26637918b5c9
6,0.0348231745454743,3.217839540167385,0.24095984970839482,"[-0.009833833310900786, 0.04988764496574372, 0.04933579970220752, 0.035532941468560855, -0.002505650075493725, 0.03479982261043626, 0.03757883604077361, 0.08342122857457845]",6,-0.009833833310900786,0.044820205620909596,0.8969125084155685,0.7802426205630767,6.861362637362637,0.49146797436849454,0.32608743202897783,267.7938416249963,7fcb0d76935ef1f25d282a22c49457dadef39f3b029284f0ae9ad110259fc9a4
7,0.031027854755376963,2.8231319251075027,0.21099636898030075,"[-0.014031240203027323, 0.04681764487874192, 0.05982776023015872, 0.028332056612944093, -0.002350271318913964, 0.017399642103770315, 0.03452695707520803, 0.07737117039406474]",6,-0.014031240203027323,0.04389749704171492,0.895913354946844,0.7796590851687208,6.878871322226161,0.5856350724926789,0.438708897573806,264.23259574999975,ae7813459def634b8cc59f773a07283090d0d55ed8f6d5ff932e3e2400549104
8,0.032003833127675615,2.905153794502897,0.21867797352930887,"[-0.011394949395378731, 0.029991677316890925, 0.0519979030818619, 0.03955143905561748, -0.01543692799597791, 0.03030715549405787, 0.041264704531052764, 0.08910957588223914]",6,-0.01543692799597791,0.044368338928839776,0.8992702893365762,0.7827468301677107,6.887727756114852,0.4903733175843129,0.3229951948440353,266.63402291700186,f3bf17f7d012e04dfe7f72dc89df003c54706b783217f49f8202ee7d2c442e0d
9,0.034525153325974015,2.9420214197961996,0.2246251961711308,"[-0.01896311139939247, 0.05315374239828903, 0.06481460042822976, 0.03749728690176913, -0.01969944993800715, 0.029305022988449943, 0.04232456149789531, 0.08728181936891248]",6,-0.01969944993800715,0.043205432483668954,0.9006034490683287,0.785437777833906,6.856411201701524,0.4836768925614232,0.3135668857306286,271.4100711249921,f50289c57e893e9046e00628b582b7648c6ec22885af57c6fddea24619ffeb0e
