seed,arm,step_sessions,rebalances,scheduled_rebalances,gross_sharpe,net_sharpe_10bp,annualised_turnover,cost_share_of_gross,net_max_drawdown,gross_max_drawdown,gross_total_return,net_total_return,gross_cagr,net_cagr,holding_duration_rebalances,holding_duration_sessions,names_changed_per_rebalance,long_leg_retention,short_leg_retention,names_replaced_both_legs_fraction,effective_n_long,effective_n_short,max_abs_weight,mean_eligible_names,signal_age_median_sessions,signal_age_p95_sessions,signal_age_max_sessions,share_signals_older_than_nominal,nominal_max_signal_age,net_sharpe_1bp,cost_share_of_gross_1bp,net_sharpe_3bp,cost_share_of_gross_3bp,net_sharpe_5bp,cost_share_of_gross_5bp,cost_share_of_gross_10bp,net_sharpe_20bp,cost_share_of_gross_20bp
0,B0,5,403,403,0.5559333390854057,0.4057355652563156,6.8977327188940105,0.2698533752717644,-0.1289282921176984,-0.12793520826303018,0.6377760056520834,0.47278385281679314,0.07243259954344072,0.049609631408919386,7.422043010752688,37.11021505376344,12.955223880597014,0.871403924188435,0.8640627410844862,0.13226666736353954,49.526054590570716,49.583126550868485,0.1,246.87841191066997,5.0,5.0,1935,0.021599726611184818,5,0.49232476642788364,0.1141904454142075,0.4730817625707954,0.1487822076047757,0.4538392056494522,0.1833739697953439,0.2698533752717644,0.3095465210991424,0.4428121862246054
1,B0,5,403,403,0.5454220973718985,0.37735969974068534,6.878973413683092,0.30793515267137783,-0.18202721381121245,-0.17016900038502947,0.5581419590133134,0.38140115237245586,0.06384310245124136,0.04123481640068705,7.3997689196995955,36.998844598497975,12.917910447761194,0.8716059751580765,0.864607974103067,0.13189302536942848,49.526054590570716,49.583126550868485,0.1,246.87841191066997,5.0,5.0,1935,0.021599726611184818,5,0.4740954255035108,0.13054644351989217,0.45260026551232563,0.16996615666466677,0.4311040113903377,0.20938586980944138,0.30793515267137783,0.26986431122377896,0.5050337183952507
2,B0,5,403,403,0.481650696190322,0.3133548596870488,6.853756823821341,0.34911562966965914,-0.14976307349371287,-0.14525135205560247,0.49063446250319315,0.2922746945412966,0.05493628962373931,0.03258607220035992,7.450028996713706,37.25014498356853,12.868159203980099,0.8740322790129518,0.863182787112848,0.13139246693710033,49.526054590570716,49.583126550868485,0.1,246.87841191066997,5.0,5.0,1935,0.021599726611184818,5,0.41022122546712486,0.14805934358274195,0.38869419583932174,0.1927385182687236,0.36716769530055815,0.23741769295470516,0.34911562966965914,0.20575273184581408,0.5725115030995672
3,B0,5,403,403,0.4921275612098619,0.3291510650149212,6.911540588443815,0.3309714898758867,-0.2128127601720644,-0.20402640550939632,0.5210632211585099,0.32204781822492534,0.05809653252926328,0.03553174488951005,7.377083732515808,36.88541866257904,12.982587064676617,0.8707510660302462,0.8641663048980713,0.1325413145358413,49.526054590570716,49.583126550868485,0.1,246.87841191066997,5.0,5.0,1935,0.021599726611184818,5,0.4231138188681637,0.14006026780698294,0.40223351916409944,0.18248498382229486,0.38135291089257,0.22490969983760684,0.3309714898758867,0.22475427256177266,0.5430950699524465
4,B0,5,403,403,0.6144174503839931,0.496367513265907,6.873792272243885,0.1918438182998788,-0.11890494669480423,-0.11861379656032411,0.8957162876190637,0.8342082008647869,0.10222800825084155,0.07881610667588679,7.438042011948352,37.19021005974176,12.907960199004975,0.8721573001656914,0.8642587000650935,0.13179199988460769,49.526054590570716,49.583126550868485,0.1,246.87841191066997,5.0,5.0,1935,0.021599726611184818,5,0.5642909959067931,0.08139198040033538,0.549196360601801,0.10593683326690058,0.5341019789249176,0.13048168613346578,0.1918438182998788,0.42090802666262284,0.31456808263270486
5,B0,5,403,403,0.3643913026032109,0.199990846952339,6.85766182204892,0.4509138865438632,-0.2009273367003761,-0.1876705409269741,0.3788893095283048,0.15305502505669977,0.039953573842979484,0.017970261587959557,7.499420401854714,37.49710200927357,12.875621890547263,0.8731015584660266,0.863959177270901,0.13146963213153628,49.526054590570716,49.583126550868485,0.1,246.87841191066997,5.0,5.0,1935,0.021599726611184818,5,0.2949158446791395,0.19041208705616336,0.2738201694911049,0.24830137583120773,0.25272506549309715,0.3061906646062521,0.4509138865438632,0.09454601977570865,0.7403603304190853
6,B0,5,403,403,0.49146797436849454,0.32608743202897783,6.861362637362637,0.3363137883323622,-0.1875893587798172,-0.15662280864377665,0.509531320419682,0.31370431481027494,0.05711513267016488,0.03471216307208369,7.48059470940336,37.4029735470168,12.883084577114428,0.8724869444612208,0.8652060043599457,0.13115352558941695,49.526054590570716,49.583126550868485,0.1,246.87841191066997,5.0,5.0,1935,0.021599726611184818,5,0.4213050497180661,0.1424991820711466,0.40014769208490747,0.18556909457363893,0.3789889936339963,0.22863900707613127,0.3363137883323622,0.22027217886932757,0.551663350844824
7,B0,5,403,403,0.5856350724926789,0.438708897573806,6.878871322226161,0.2505341088588398,-0.12889989850129113,-0.1286129567408727,0.6854476181081564,0.5399741507901512,0.0783803362103015,0.055481951154584985,7.4026574234546505,37.01328711727325,12.917910447761194,0.8721034875958874,0.8641124923282674,0.13189201003792272,49.526054590570716,49.583126550868485,0.1,246.87841191066997,5.0,5.0,1935,0.021599726611184818,5,0.5233418107685968,0.10609329437595133,0.5045339354648887,0.13819125314992653,0.48572628754617186,0.17028921192390176,0.2505341088588398,0.34468747699466523,0.41102390272871575
8,B0,5,403,403,0.4903733175843129,0.3229951948440353,6.887727756114852,0.3409990145432264,-0.1753335661906108,-0.16391120183102015,0.5035215008706827,0.3072775479514851,0.05651484044349897,0.03407775125017021,7.383269230769231,36.916346153846156,12.935323383084578,0.8725969387076754,0.8632646905209773,0.13206918538567378,49.526054590570716,49.583126550868485,0.1,246.87841191066997,5.0,5.0,1935,0.021599726611184818,5,0.41956584623077503,0.1441174882107228,0.39810459268469334,0.1878689385068347,0.37664383321083533,0.2316203888029466,0.3409990145432264,0.21572077760970124,0.5597562660237859
9,B0,5,403,403,0.4836768925614232,0.3135668857306286,6.856411201701524,0.3513926186339709,-0.1854917978507855,-0.16815597235515978,0.4885439104319121,0.29055300804756845,0.05481092597455106,0.03241392330299586,7.483091787439614,37.41545893719807,12.873134328358208,0.8727005025212606,0.8644099844594482,0.13144475650964577,49.526054590570716,49.583126550868485,0.1,246.87841191066997,5.0,5.0,1935,0.021599726611184818,5,0.4112783959862574,0.1493977828953953,0.3895641408267562,0.19428552417063433,0.36785007814009524,0.2391732654458734,0.3513926186339709,0.205017997927226,0.5758313250101663
