arm,seed,fold,mean_rank_ic
E0,0,0,-0.05826282338745633
E0,0,1,0.018356510912743162
E0,0,2,-0.003533467476526816
E0,0,3,0.01744068672491241
E0,0,4,0.03687994672832909
E0,0,5,0.004735717643744087
E0,0,6,0.003628822950518128
E0,0,7,0.024468304915944844
E1,0,0,0.008734435998168722
E1,0,1,0.023528886180525076
E1,0,2,0.05384384952515888
E1,0,3,0.019838422971972722
E1,0,4,-0.06158288678789937
E1,0,5,0.030480423933278496
E1,0,6,0.0025000924788049837
E1,0,7,0.040254041028459406
E2,0,0,-0.016574099454242475
E2,0,1,0.03747916999195078
E2,0,2,0.04641137804893683
E2,0,3,0.027991208405072885
E2,0,4,-0.006440544106297191
E2,0,5,0.03961665376536108
E2,0,6,0.0376813942759858
E2,0,7,0.07603634658979988
E2,1,0,-0.01006508940730869
E2,1,1,0.03295374731118214
E2,1,2,0.0515900996648761
E2,1,3,0.022132032352424277
E2,1,4,-0.009375728091530202
E2,1,5,0.033418735226995185
E2,1,6,0.04306937017056327
E2,1,7,0.08179591577095038
E2,2,0,-0.019897113162037912
E2,2,1,0.036719736830288834
E2,2,2,0.05684906002014292
E2,2,3,0.04594797463117101
E2,2,4,-0.006571673756195075
E2,2,5,0.04086505600536018
E2,2,6,0.03632181015456244
E2,2,7,0.07833140910294195
E2,3,0,-0.01442612224101068
E2,3,1,0.038095183657377775
E2,3,2,0.05249518727236268
E2,3,3,0.0195248130501729
E2,3,4,-0.0015927274017262833
E2,3,5,0.039862830182631474
E2,3,6,0.04680055795557337
E2,3,7,0.07467051618717777
E2,4,0,-0.015033159345177871
E2,4,1,0.04518555074248324
E2,4,2,0.05924868726909434
E2,4,3,0.024223677782341514
E2,4,4,0.007492524859130159
E2,4,5,0.026118021473391935
E2,4,6,0.03543051237392408
E2,4,7,0.07275438813124785
E2,5,0,-0.016214169833426707
E2,5,1,0.03186393499350438
E2,5,2,0.05266545248167112
E2,5,3,0.03424125486757424
E2,5,4,-0.01728785106562155
E2,5,5,0.03184534772382185
E2,5,6,0.041267358652869686
E2,5,7,0.08973750416841891
E2,6,0,-0.009833833310900786
E2,6,1,0.04988764496574372
E2,6,2,0.04933579970220752
E2,6,3,0.035532941468560855
E2,6,4,-0.002505650075493725
E2,6,5,0.03479982261043626
E2,6,6,0.03757883604077361
E2,6,7,0.08342122857457845
E2,7,0,-0.014031240203027323
E2,7,1,0.04681764487874192
E2,7,2,0.05982776023015872
E2,7,3,0.028332056612944093
E2,7,4,-0.002350271318913964
E2,7,5,0.017399642103770315
E2,7,6,0.03452695707520803
E2,7,7,0.07737117039406474
E2,8,0,-0.011394949395378731
E2,8,1,0.029991677316890925
E2,8,2,0.0519979030818619
E2,8,3,0.03955143905561748
E2,8,4,-0.01543692799597791
E2,8,5,0.03030715549405787
E2,8,6,0.041264704531052764
E2,8,7,0.08910957588223914
E2,9,0,-0.01896311139939247
E2,9,1,0.05315374239828903
E2,9,2,0.06481460042822976
E2,9,3,0.03749728690176913
E2,9,4,-0.01969944993800715
E2,9,5,0.029305022988449943
E2,9,6,0.04232456149789531
E2,9,7,0.08728181936891248
E3,0,0,0.03561634919683003
E3,0,1,0.04035470275063804
E3,0,2,0.08333135195192734
E3,0,3,0.003990249655546103
E3,0,4,-0.04516721207529002
E3,0,5,0.05491141658819101
E3,0,6,0.017925964783807282
E3,0,7,0.06068264436393421
E3,1,0,0.03925858985942079
E3,1,1,0.026238344069931255
E3,1,2,0.09522425343047407
E3,1,3,0.0021765885259749894
E3,1,4,-0.02985839390341559
E3,1,5,0.044286733648214394
E3,1,6,0.022875478410547122
E3,1,7,0.05799468260961626
E3,2,0,0.04388884492742161
E3,2,1,0.03445122698365826
E3,2,2,0.08337708697200408
E3,2,3,0.0064831879062726624
E3,2,4,-0.04478342345335266
E3,2,5,0.05094519927041892
E3,2,6,0.02255341424319356
E3,2,7,0.06680931750398973
E3,3,0,0.04616068697569989
E3,3,1,0.033438161975104366
E3,3,2,0.0795908565666068
E3,3,3,0.007825599347849195
E3,3,4,-0.03582636269713331
E3,3,5,0.05050053530924146
E3,3,6,0.022950140678990306
E3,3,7,0.06395398828086019
E3,4,0,0.0345534698412586
E3,4,1,0.027697872176466163
E3,4,2,0.08641029055972804
E3,4,3,0.002338010532412044
E3,4,4,-0.035855378696816056
E3,4,5,0.04185131767362815
E3,4,6,0.02483260417092993
E3,4,7,0.05543509976352769
E3,5,0,0.03834063413806601
E3,5,1,0.04093682995376122
E3,5,2,0.09299160556831552
E3,5,3,0.0009797514449530508
E3,5,4,-0.04591260257945498
E3,5,5,0.054395146185932004
E3,5,6,0.021084198590025718
E3,5,7,0.056159421339950055
E3,6,0,0.03144644763020088
E3,6,1,0.031142546366709576
E3,6,2,0.08775809088043061
E3,6,3,-0.0025884472600802054
E3,6,4,-0.04691735311644103
E3,6,5,0.04323314077831416
E3,6,6,0.029457332184151763
E3,6,7,0.06706134845739252
E3,7,0,0.024173677494379275
E3,7,1,0.03265217548712535
E3,7,2,0.08251063308057696
E3,7,3,-0.00601939263457304
E3,7,4,-0.043547188242088516
E3,7,5,0.049468652517153155
E3,7,6,0.022968435027875076
E3,7,7,0.061664713635757845
E3,8,0,0.04801250448455962
E3,8,1,0.030749627708766273
E3,8,2,0.08662781298573735
E3,8,3,-0.0012627139730879743
E3,8,4,-0.04602436050432476
E3,8,5,0.04952249129074985
E3,8,6,0.01922566502876286
E3,8,7,0.05770741340553478
E3,9,0,0.04054853368045888
E3,9,1,0.03091093959900165
E3,9,2,0.08897312044543565
E3,9,3,0.008695523921709447
E3,9,4,-0.04522737963790817
E3,9,5,0.05002914875183292
E3,9,6,0.022064728625003083
E3,9,7,0.06804901647260649
